'-2.90';'5.292';0.0
'-2.85';'5.241';0.0
'-2.84';'5.241';0.0
'-2.82';'5.228';0.0
'-2.80';'5.178';0.0
'-2.78';'5.165';0.0
'-2.78';'5.165';0.0
'-2.78';'5.165';0.0
'-2.78';'5.165';0.0
'-2.85';'5.534';0.0
'-2.85';'5.534';0.0
'-2.83';'5.534';0.0
'-2.82';'5.520';0.0
'-2.80';'5.520';0.0
'-2.78';'5.506';0.0
'-2.76';'5.506';0.0
'-2.75';'5.506';0.0
'-2.73';'5.506';0.0
'-2.72';'5.506';0.0
'-2.70';'5.506';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.51';'4.853';0.0
'-2.19';'4.751';0.0
'-2.16';'4.696';0.0
'-2.15';'4.696';0.0
'-2.13';'4.685';0.0
'-2.10';'4.674';0.0
'-2.08';'4.674';0.0
'-2.06';'4.674';0.0
'-2.04';'4.674';0.0
'-2.04';'4.674';0.0
'-2.02';'4.685';0.0
'-2.01';'4.685';0.0
'-1.99';'4.685';0.0
'-1.98';'4.685';0.0
'-1.96';'4.674';0.0
'-1.94';'4.674';0.0
'-1.92';'4.664';0.0
'-1.90';'4.653';0.0
'-1.88';'4.642';0.0
'-1.86';'4.631';0.0
'-1.84';'4.631';0.0
'-2.79';'4.504';0.0
'-2.79';'4.504';0.0
'-2.79';'4.504';0.0
'-2.79';'4.504';0.0
'-2.79';'4.504';0.0
'-2.79';'4.504';0.0
'-2.79';'4.504';0.0
'-2.79';'4.504';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.77';'4.484';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.79';'4.494';0.0
'-2.94';'6.500';0.0
'-2.93';'6.482';0.0
'-2.93';'6.482';0.0
'-2.92';'6.482';0.0
'-2.92';'6.500';0.0
'-2.91';'6.500';0.0
'-2.89';'6.500';0.0
'-2.89';'6.517';0.0
'-2.89';'6.517';0.0
'-2.87';'6.517';0.0
'-2.86';'6.517';0.0
'-2.86';'6.517';0.0
'-2.85';'6.517';0.0
'-2.84';'6.517';0.0
'-2.83';'6.517';0.0
'-2.83';'6.517';0.0
'-2.82';'6.517';0.0
'-2.82';'6.517';0.0
'-2.81';'6.517';0.0
'-2.81';'6.517';0.0
'-2.96';'6.771';0.0
'-2.93';'6.716';0.0
'-2.93';'6.716';0.0
'-2.94';'6.734';0.0
'-2.94';'6.734';0.0
'-2.93';'6.734';0.0
'-2.93';'6.734';0.0
'-2.93';'6.734';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.93';'6.753';0.0
'-2.97';'6.847';0.0
'-2.95';'6.809';0.0
'-2.95';'6.809';0.0
'-2.95';'6.809';0.0
'-2.94';'6.790';0.0
'-2.94';'6.790';0.0
'-2.94';'6.790';0.0
'-2.93';'6.771';0.0
'-2.92';'6.771';0.0
'-2.92';'6.753';0.0
'-2.92';'6.753';0.0
'-2.92';'6.753';0.0
'-2.92';'6.753';0.0
'-2.92';'6.753';0.0
'-2.92';'6.753';0.0
'-2.92';'6.753';0.0
'-2.91';'6.734';0.0
'-2.91';'6.734';0.0
'-2.91';'6.734';0.0
'-2.91';'6.734';0.0
'-2.96';'6.753';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.697';0.0
'-2.94';'6.716';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
'-2.10';'5.279';0.0
