'1.016';'4.170';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.027';'4.124';0.0
'1.030';'4.275';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.034';'4.265';0.0
'1.035';'4.236';0.0
'1.041';'4.227';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.043';'4.236';0.0
'1.040';'4.284';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.045';'4.265';0.0
'1.041';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.046';'4.275';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.041';'4.343';0.0
'1.037';'4.265';0.0
'1.049';'4.255';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.042';'4.246';0.0
'1.055';'4.275';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.060';'4.255';0.0
'1.043';'4.255';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.047';'4.246';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.054';'4.255';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.069';'4.275';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'1.083';'4.294';0.0
'0.224';'4.536';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.220';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.494';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
'0.214';'4.484';0.0
